epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,570.969,3.71928,5.46455,4.14968,0,0,0,0,3.47708,6.04417,4.18429,0.000165049,0.000165049,0.000165049
2,1238.05,3.12358,4.83749,3.54863,0.47447,0.0678,0.03964,0.00967,2.71688,6.0377,3.32458,0.000328431,0.000328431,0.000328431
3,1903.67,2.88239,4.29516,3.12178,0.42408,0.11636,0.05562,0.01508,2.65994,5.27311,3.09845,0.000488514,0.000488514,0.000488514
4,2565.17,2.71345,3.81016,2.89947,0.59154,0.14284,0.1645,0.05432,2.38572,4.16485,2.77628,0.00048515,0.00048515,0.00048515
5,3232.56,2.55425,3.42849,2.76849,0.5445,0.31837,0.33597,0.12941,2.30729,3.59039,2.69319,0.0004802,0.0004802,0.0004802
6,3893.56,2.48295,3.18073,2.68401,0.62448,0.3982,0.43061,0.16704,2.24963,3.45829,2.58682,0.00047525,0.00047525,0.00047525
7,4604.48,2.36038,2.91477,2.60637,0.57631,0.51627,0.55149,0.21942,2.23111,3.05226,2.58772,0.0004703,0.0004703,0.0004703
8,5367.9,2.27646,2.65918,2.511,0.61503,0.5946,0.61236,0.26705,2.10113,2.7415,2.4615,0.00046535,0.00046535,0.00046535
9,5997.35,2.2113,2.52257,2.44799,0.73617,0.52916,0.64646,0.27382,2.07948,2.56412,2.41781,0.0004604,0.0004604,0.0004604
10,6473.8,2.14428,2.3608,2.37646,0.66669,0.67287,0.71584,0.31954,2.02831,2.33774,2.35046,0.00045545,0.00045545,0.00045545
11,6951.28,2.08015,2.21813,2.32636,0.69152,0.62727,0.7017,0.31262,2.05438,2.23998,2.37121,0.0004505,0.0004505,0.0004505
12,7430.38,2.04823,2.11742,2.2774,0.68231,0.69151,0.73316,0.31133,2.024,2.20261,2.30836,0.00044555,0.00044555,0.00044555
13,7906.99,1.99964,2.02923,2.23651,0.72154,0.71552,0.77424,0.3538,1.9687,1.96148,2.25842,0.0004406,0.0004406,0.0004406
14,8386.36,1.99218,2.01211,2.21774,0.74035,0.72571,0.7897,0.37087,1.89504,1.89423,2.19816,0.00043565,0.00043565,0.00043565
15,8863.17,1.95838,1.92845,2.19204,0.71564,0.66966,0.78042,0.36225,1.91794,1.90586,2.21721,0.0004307,0.0004307,0.0004307
16,9366.66,1.94058,1.89472,2.17302,0.77199,0.75325,0.81572,0.4102,1.83127,1.79255,2.14405,0.00042575,0.00042575,0.00042575
17,10000.1,1.90137,1.82436,2.14031,0.77045,0.76902,0.82674,0.40539,1.8429,1.72583,2.14954,0.0004208,0.0004208,0.0004208
18,10639.3,1.91294,1.77098,2.11719,0.75967,0.74704,0.8245,0.3993,1.85562,1.71156,2.14704,0.00041585,0.00041585,0.00041585
19,11277.9,1.86872,1.74221,2.08633,0.82344,0.8059,0.83667,0.41345,1.87233,1.66356,2.10956,0.0004109,0.0004109,0.0004109
20,11926.1,1.86939,1.7023,2.07834,0.82126,0.79937,0.83706,0.42088,1.82228,1.53845,2.09444,0.00040595,0.00040595,0.00040595
21,12568.7,1.84223,1.6433,2.05352,0.80377,0.80217,0.84085,0.41594,1.81486,1.62482,2.11058,0.000401,0.000401,0.000401
22,13207.1,1.82524,1.6167,2.02625,0.802,0.8167,0.8414,0.41751,1.81539,1.49333,2.04751,0.00039605,0.00039605,0.00039605
23,13844.8,1.82471,1.59155,2.03549,0.79229,0.76101,0.82221,0.39475,1.89537,1.65541,2.1389,0.0003911,0.0003911,0.0003911
24,14480.2,1.82515,1.5785,2.01988,0.78771,0.81892,0.8406,0.42292,1.78365,1.44842,2.05262,0.00038615,0.00038615,0.00038615
25,15118,1.78201,1.5129,1.99007,0.85073,0.81334,0.86648,0.42777,1.78178,1.39883,2.05153,0.0003812,0.0003812,0.0003812
26,15759.6,1.76576,1.49662,1.97373,0.80665,0.80908,0.85077,0.43153,1.78341,1.44608,2.04537,0.00037625,0.00037625,0.00037625
27,16413.9,1.78397,1.50169,1.98742,0.81751,0.81611,0.86212,0.44608,1.74095,1.36637,2.00402,0.0003713,0.0003713,0.0003713
28,17052.5,1.77485,1.46763,1.96649,0.80473,0.84658,0.8679,0.44803,1.71297,1.39168,1.99741,0.00036635,0.00036635,0.00036635
29,17691.1,1.74363,1.44515,1.94632,0.82234,0.85249,0.86107,0.45968,1.69994,1.39063,1.96722,0.0003614,0.0003614,0.0003614
30,18328.8,1.74296,1.4378,1.94873,0.84511,0.80538,0.85953,0.4402,1.73369,1.3446,2.00621,0.00035645,0.00035645,0.00035645
31,18966.3,1.72323,1.40213,1.9198,0.78095,0.82275,0.85118,0.4414,1.7345,1.42236,2.02069,0.0003515,0.0003515,0.0003515
32,19610.9,1.7306,1.38895,1.91389,0.8281,0.85941,0.88097,0.46261,1.71275,1.27037,1.97577,0.00034655,0.00034655,0.00034655
33,20254,1.72768,1.36887,1.91107,0.8177,0.85232,0.88386,0.46799,1.70694,1.27653,1.94619,0.0003416,0.0003416,0.0003416
